,message
28,01101110100011101010110010001100101011011100111010001110011001011100010000001000001011011000111011101100001011110010111001100100000010010000110000101110010011100100111100100100000011010000110000101100100001000000110001001100101011001010110111000100000011001010110111001100011011011110111010101110010011000010110011101100101011001000010000001110100011011110010000001110011011101000111010101100100011110010010000001110111011010000110000101110100011001010111011001100101011100100010000001100011011000010111010101100111011010000111010000100000011010000110100101110011001000000110000101110100011101000110010101101110011101000110100101101111011011101000000000100000011000100110111101110101011001110110100001110100001000000110000101101100011011000010000001110100011010000110010100100000011000100110111101101111011010110111001100100000011101000110100001100001011101000010000001100011011000010111010101100111011010000111010000100000011010000110100101110011001000000110011001100001011011100110001101111001111000010010000001110011011100000110111101101110011100110110111101110010011001010110010000100000011010010110111000100000011101110110100001100001011101000110010101110110011001010111001000100000011011010110000101110100011010000111001100100000011011110111001000100000011100110110001101101001011001010110111001100011011001010010000001100011011011110110110101110000011001010111010001101001011101000110100101101111011011100111001100100000011010000110010100100000011001010110111001110100011001010111001001100101011001000010111000100000010010000110010100100000011101110110000101110011001000000110011101101001011101100110010101101110001000000110000101101110011110010111010001101000011010010110111001100111001000000111001001100101011000010111001101101111011011100110000101100010011011000110010100100000011101000110100001100001011101000010000001101000011001010010000001110111011000010110111001110100011001010110010000000010001000000110010101111000011000110110010101110000011101000110100100100000011011010110000101111001011000100110010111100000001000000111010001101000011001010010000001110011011011000110100101100111011010000111010001100101011100110111010000100000011100110110100001110010011001010110010000100000011011110110011000100000011100100110010101110011011100000110010101100011011101000010111000100000010000010010000001000100011011110110001101110100011011110111001000100000011101000110010101100001011000110110100001101001011011100110011100100000011000100110100101101111011000110110100001100101011011010110100101110011011101000111001001111001001000000110000101110100001000000100111101111000011001100110111101110010011001000010000001100011011011110111010101101100011001000010000001101000011000010111001001100100011011000111100100100000011000100110010100100000011001010111100001110000011001010110001101110100011001010110010000100000011101000110111100100000011011000110100101110011011101000110010101101110001000000111010001101111001000000111010001101000011001010010000001100001011001000111011001101001011000110110010100100000011011110110011000100000011000010010000001101100011010010111010001110100011011000110010100100000011000100110111101111001001011100010000001011001011011110111010100100000011101110110111101110101011011000110010000100000011011000110100101110011011101000110010101101110001000000111010001101111001000000101001101101000011011110111011100100000010010010110111001110100011001010111001001100101011100110111010000100010001000000110111101100110001000000110001101101111011101010111001001110011011001011000111000100000011101000110100001100001011101001011011101110011001000000111011101101000011000010111010000100000011000010010000001000111011011110110111101100100001000000101000001100001011100100110010101101110011101000010000001110111011011110111010101101100011001000010000001100100011011110110010100100000011000010110111001100100001000000111001101101111011111110010000001101001011001100010000001111001011011110111010100100000011000110110111101101110011000110110010101101001011101100110010101100100001000000110111101100110001000000111100101101111011101010111001001110011011001010110110001100110001000000110000101110011001000000110000100100000010001110110111101101111011001000010000001010000011000010111001001100101011011100111010010111111001000000111100101101111011101010010000001110111011011110111010101101100011001000010000001100100011011110010000001101001011101000010111000100000010000100111010101110100001000000111010001100001011010110110010100100000011000010010000001110100011001010110111000101101011110010110010101100001011100100010110101101111011011000110010000100000011100110110010101110010011010010110111101110101011100110110110001111001111111110010000001001000011000010111001001100100011011000111100100101110010010000110000101110010011100100111100100101111011100110010000001101101011011110111010101110100011010000010000001110100011101110110100101110011011101000110010101100100001000000110001001101001011101000111010001100101011100100110110001111001001011100010000001001000011001010010000001110111011000010111001100100000011101000111001001100101011000010111010001100101011001000010000001110111011001010110110001101100111111110010000001110000011100100110111101100010011000010110001001101100011110010010000001100010011001010111010001110100011001010111001000100000011101000110100001100001011011100010000001101101011011110111001101110100001000000110011101100101011011100110010101110100011010010110001100100000011001100110000101110100011010000110010101110010011100110010000001110100011100100110010101100001011101000110010101100100001000000111010001101000011001010110100101110010001000000110111101110111011011100010000001100011011010000110100101101100011001000111001001100101011011100010111000100000010010000110000101110010011100100111100100100000011010000110000101100100001000000110001001100101011001010110111000100000011100110110010101101110011101000010000001110100011011110010000001110100011010000110010100100000011000100110010101110011011101000010000001110000011100100110100101101101011000010111001001111001001000000111001101100011011010000110111101101111011011000111001100100000001011010010000001100001011011100110010000100000011101110110100001100101011011100010000001110100011010000110000101110100001000000110010001101001011001000110111000011000011101000010000001110111011011110111001001101011001000000110111101110101011101001010101100100000011010000110010100100000011101110110000101110011001000000111000001110010011011110111011001101001011001000110010101100100001000000111011101101001011101000110100000100000011101000111010101110100011011110111001001110011001000000110011001110010011011110110110100100000011101000110100001100101001000000110010101101110011001000110110001100101011100110111001100100000011100000110111101101111011011000010000001101111011001100010000001110011011101000110000101110010011101100110100101101110011001110010000001110
29,0000110011001100001011101000110100001100101011100100010111001010011011011110110110101100101011101000110100101101101011001010111001100100000010010000110000101110010011100100111100100100000011101110110000101101110011101000110010101100100001000000111010001101111001000000111001101100011011100100110010101100001011011010010000001100001011101000010000001101000011010010111001100100
30,1110001000000111001101100011011010010110010101101110011000110110010100100000011010010111001100100000011101000110100001100001011101000010000001110100011010000110010100100000011001100110100101101110011000010110110000100000011000010111001001100010011010010111010001100101011100100010000001101001011100110010000001101111011000100111001101100101011100100111011001100001011101000110100101101111011011100010000000101101001000000111010001101000011000010111010000100000011110010110111101110101001000000110101001110101011100110111010000100000011010000110000101110110011001010010000001110100011011110010000001101100011011110110111101101011001000000110000101110100001000000111010001101000011001010010000001110111011011110111001001101100011001000010000001100001011011100110010000100000011100100110010101110000011011110111001001110100001000000111011101101000011000010111010000100000011110010110111101110101001000000111001101100101011001010010111000100000010101010110110100101110001011100010111000100000011011110110011001100110001000000111010001101000011001010010000001110100011011110111000000100000011011110110011000100000011011010111100100100000011010000110010101100001011001000010000001001001001000000110001101100001011011100101111101110100001000000111010001101000011010010110111001101011001000000110111101100110001000000111011101101000011001010111001001100101001000000111010001101111001000000110011001101001011011100110010000100000011100110110111101101101011001010111010001101000011010010110111001100111001000000110000101100010011011110111010101110100001000000110100001101111011101110010000001101001011101000110010001110011001000000110000101101110001000000110100101100100011001010110000101101100001000000110111101100110001000000111001101100011011010010110010101101110011000110110010100100000011101000110111100100000011100110110010101110100011101000110110001100101001000000111010001101000011010010110111001100111011100110010000001100010011110010010000001100101011110000111000001100101011100100110100101101101011001010110111001110100001000000110100101101110011100110111010001100101011000010110010000100000011011110110011000100000011000010111001001100111011101010110110101100101011011100111010001110011001000000010110101110000111111110100110101110101011011011111111110001011001000000100100001100001011100100111001001111001001000000111001101100001011010010110010000101110001000000001110001001001011001100010000001111001011011110111010100100000011101110110000101101110011101000010000001110100011011110010000001110111011010010110111000100000011101000110100001101001011100110010000001100001011100100110011101110101011011010110010101101110011101000010000001110111011010010111010001101000001000000100010001100001011001000110110000100000011011000110111101101111011010110010000001101001011011100010000001100011011010000110000101110000011101000110010101110010001000000111010001110111011011110010000001101111011001100010000001110100011010000110010100100000011001100110100101110010011100110111010000100000011000100110111101101111011010110010000001101111011001100010000001110100011010000110010100100000010001100110010101111001011011100110110101100001011011100010000001001100011001010110001101110100011101010111001001100101011100110010000001101111011011100010000001010000011010000111100101110011011010010110001101110011001011100010000001010100011010000110010101110010011001010100111001110011001000000110000100100000011100010111010101101111011101000110010100100000011101000110100001100101011100100110010100100000011000010110001001101111011101010111010000100000011010000110111101110111001000000111000001101000011010010110110001101111011100110110111101110000011010000110010101110010011100110010000001110011011000010111100100100000011000010010000001100111011100100110010101100001011101000010000001100100011001010110000101101100001000000110000101100010011011110111010101110100001000000111011101101000011000010111010000100000011100110110001101101001011001010110111001100011011001010010000001100001011000100111001101101111011011000111010101110100011001010110110001111001001000000111001001100101011100010111010101101001011100100110010101110011111111110010000001100001011011100110010000100000011010010111010000100000011010010111001100100000011000010110110001101100001000000111011101110010011011110110111001100111010100000010000001100010011001010110001101100001011101010111001101100101001000000111010001101000011001010010000001101111011011100110110001111001001000000111001001110101011011000110010100100000011010010110
31,11001000010111000100000101000010101010001101000011000010110111001101011001000000111100101101111011101011001111000100000010010000110000101110010011100100111100100101110001000000100001001110101011101000010000000101101101010110010000001101000011001010111001000100000011010000110010101100001011001000010000001110010011011110111001101100101001000000110001001100001011000110110101100100000011101010111000000100000011101000110111100100000011100110111010001100001011100100110010100100000011000010111010000100000011010000110010101110010001000000110100001110101011100110110001001100001011011100110010000101110001000001111111101001001001000000110010001101111011011100000110001110100001000000111011101100001011011100111010000100000011101000110111100100000011101110110100101101110001000000110000101101110001000000110000101110010011001110111010101101101011001010110111001110100001000000111011101101001011101000110100000100000011110010110111101110101011100100010000001100110011000010111010001101000011001010111001000101110001000000100100100100000011101110110000101101110011101000010000001101101011110010010000001101000011101010111001101100010011000010110111001100100001000000111010001101111011111110010000001110100011011110010000001101100011010010111001101110100011001010110111000100000011101000110111100100000011010000110100101110011001000000111011101101001011001100110010100100000011101110110100001101111001000000110110001101111011101100110010101110011001000000110100001101001011011011111011100100000011000010110111001100100001000000111010001110010011101010111001101110100001000000110100001100101011100100010000001101010011101010111001101110100001000000111010001101000011010010111001100100000011011110110111001100011011001010010000000101101000000010100100001101001011100110010000001101101011011110111010001101000011001010111001000100000011011000110111101101111011010110110010101100100001000000110010001101111011101110110111000100000011000010111010000100000011010000110100101101101001000000110000101101110011001000010000001110011011011010110100101101100011001010
32,1110011001000000111000001100001011100100110010101101110011101000111001100100000011101110110010101110010011001010010000001101010011101010111001101110100001000000110100001101111011100000110010101101100011001010111001101110011001011100100100001100001011100100111001001111001001000000110001101101100011011110111001101100101011001000010000001101000011010010111001100100000011001010111100101100101011100110010000001100010011100100110100101100101011001100110110001111001001011100010000001001000011011110111000001100101011011000110010101110011011100110010111000100000010000100110111101110100011010000010000001101111011001100010000001101000011010010
33,01000000111010001110010011010010110010101100100001000000111010001101111001000000110110101100001011010110110010100100000011010000110100101110011001000000110011001100001011101000110100001100101011100100010000001100110011001010110010101101100001000000110011101110101011010010110110001110100011110010011001000100000011000010110111001100100001000000110100001101001011100110010000001100110011000010111010001101000011001010111001000100000011101000111001001101001011001010110010000100000011101000110111100100000011011010110000101101011011001010010000001101000011010010111001100100000011011010110111101110100011010000110010101110010001000000110011001100101011001010110110000100000011100110111010001110101011100000110100101100100001011100100111001101111011101110010000001101000011010010111001100100000011100000110000101110010011001010110111001110100011100110010000001110111011001010111001001100101001000000110011101100101011101000111010001101001011011100110011100100000011010010110111001110100011011110010000001101111011011100110010100100000011011110110011000100000011101000110100001101111011100110110010100100000011000010111001001100111011101010110110101100101011011100111010001110011001000000110000101100111011000010110100101101110100010000010000001101111011011100110010100100000011101110110100001100101011100100110010100100000011010000110100101110011001000000110110101101111011101000110100001100101011100100
34,101110011000110110010101100100001011100010000001001000011010010111001100100000011101100110111101101001011000110110010100100000011101000111001001100101011011010110001001101100011001010110010000100000011000010010000001101100011010010111010001110100011011000110010100101110001000001100010001010000011011000110010101100001011100110110010100100000011101000111001001111001001000000110111001101111011101000010000001110100011011110010000001100110011010010110011101101000011101000010000001110100011011110110111100100000011011010111010101100011011010000010000001100001011000100110111101110101011101000010000001110100011010000110100101110011111111110010000001001101011101010110110101001011001000000100010001100001011001000000010000100000011101110110010110110011011011000110110000100000011010110110111001101111011101110010000001110011011011110110111101101110001000000110010101101110011011110111010101100111011010000010000001101000011011110111011100100000011010010111010000100000011000110110111101101101011001010111001100100000011011110111010101110100011111110010000001110010011010010110011101101000011101001101001111111111111111100100100100000010011011010010000001100111011011110110100101101110011001110010000001110100011011110010000001100111011011110010000001110100011011110010000001101101011110010010000001110010011011110110111101101101100000101111111100100000010010000110000101110010011100100111100100100000011000010110111001101110011011110111010101
35,00001101101011011110111010001101000011001010111001000100000011001110110000101110110011001010010000001101000011010010110110100100000011000010010000001110010011001010110000101110011011100110111010101110010011010010110111001100111001000000110101101101001011100110111001110101110001000000110000101101110011001000010000001110100011010000110010101101110001000000111010001101000011001010111100100100000011101110110010101101110011101000010000001101111011011100010000001100110011010010110011101101000011101000110100101101110011001110010000001110111011010000110100101101100011001010010000001001000011000010111001001110010011110010010000001100011011011000110100101101101011000100110010101100100001000000111010001101000011001010010000001110011011101000110000101101001011100100111001100100000011101000110111100100000011010000110100101110011001000000110001001100101011001000111001001101111011011110110110100101110101001010100111101100110001000000110001101101111011101010111001001110011011001010010101100100000010010000110000101110010011100100111100100111111101100110010000001110011011000010110100101100100001000000110100001101001011100110010000001100110011000010111010001101000011001010111001011111111001000000110000101101110011001000010000001101000011010010111001100100
36,0110010001101111011011110111001000100000011000100110010101101000011010010110111001100100001000000110100001101001011011010010000001100001011011100110010000100000011101000111001001101001011001010110010000100000011101000110111100100000011101000110100001101001011011100110101100101110010010000110010100100000011100110110100001110101011101000010000001110100011010000110010100100000
37,0110010100100000011000010010000001110010011000010111010001101000011001010111001000100000011100110111010101110011011100000110100101100011011010010110111101110101011100110010000001110011011011110111001001110100001000000110111101100110001000000110010101111000011000110111010101110011011001010010111001010100011010000110010100100000011001100111010101101110011011100111100100100000011101000110100001101001011011100110011100100000011101110110000101110011100010110010000001101000011001010010000001110011011010000110111101110101011011000110010000100000011010000110000101110110011001010010000001100001011001110111001001100101011001010110010000100000011101110110100101110100011010000010000001000100011000010110010000101110001000000100111001101111001000000110111101101110011001010010000001101000011000010110010000100000011001010111011001100101011100100010000001110011011001010110010101101110001000000110000101101110011110010010000001100101011101100110100101100100011001010110111001100011011001010010000001101111011001100010000001101101011000010110011101101001011000111111110100100000011000010110111001100100001000000110000101100011011000110110111101110010011001000110100101101110011001110010000001110100011011110010000001001101011101010110110100011000001000000111010001101000011001010111001001100101001000000111011101100001011100110010000001100001001000000111011101101000011011110110110001100101001000000110110101100001011001110110100101100011011000010110110000100000011101110110111101110010011011000110010000100000011011110111010101110100001000000111010001101000011001010111001001100101001011100010000001001000011011110111011100100000011000110110111101110101011011000110010000100000011000010110111001111001011011110110111001100101001000000110101101100101011001010111000000100000011100110110111101101101011001010111010001101000011010010110111001100111001000000110110001101001011010110110010100100000011101000110100001100001011101000010000001100001001000000111001101100101011000110111001001100101011101000101011100100000010011010110111101110010011001010010000001101101011000010110011101101001011000110100011000100000010101000110100001100001011101000010000001110011011001010110010101101101011001010110010000100000011011000110100101101011
38,0000111010001101000011001010010000001101100011001010111010001110100011001010111001000100000011010000110010101110010011100110110010101101100011001101100101000100000011101000110100001100001011101000010000001110111011011110111010101101100011001000010000001100101011110000111000001101100011000010110100101101110001000000110100001101111011101110010000001101001011101000010000001100001011100100111001001101001011101100110010101100100001000000110000101110100001000000111010001101000011001010010000001101100011001010111010001110100011001010111001001100010011011110111100000100000011101110110100101110100011010000110111101110101011101000010000001100001001000000111001101110100011000010110110101110000001011100010000001000001001000000110110001101001011101000111010001101100011001010010000001101001011011100111001101100001011011100110100101110100011110010010000001110111011000010111001100100000011001100110000101110010111011110010000001100110011000010111001000100000011011000110010101110011011100110010000001101001011011010111000001110010011011110110001001100001011000100110110001100101001000000111010001101000011000010110111000100000011101000110100001100101001000000111010101101110011010010111011001100101011100100111001101100101001000000111001001100101011000010110110001101100011110010010000001110111011011110111001001101011011010010110111001100111001000000110110001101001011010110110010100100000011101000110100001100001011101000010111001001001011101000010000001110011011010000110111101110101011011000110010000100000011010000110000101110110011001010010000001100010011001010110010101101110001000000110000100100000011000110110110001100101011000010110111000100000011000110110000101110011011001010010000001100110011011110111001000100000010011010111010101101101001000000110101001101111011010110110100101101110011001110111110000100000011011000111100101101001011011100110011100100000011011110111001000100000011000100110010101101001011011100110011100100000011010010110111001110011011000010110111001100101111111110010000001101001011011100010000001100001011100110110001101100101011011100110010001101001011011100110011100100000011011110111001001100100011001010111001000100000011011110110011000100000011000010111011101100110011101010110110001101110011001010111001101110011001011100010000001001001011001100010000001001101011101010110110100100000011010000110000101100100001000000111001101100101011011100111010000100
39,10100011010000110000101110100001000000110110101100001011001110110100101100011001000000111011101100001011100110010000001110010011001010110000101101100111110110010000001100001011011100110010000100000011010000110000101100100001000000110001001100101011001010110111000100000011100110110100101101110011000110110010100100000011101000110100001100101001000000110100101101110011100110111010001100001011011100111010000100000011010000110010100100000011100110110000101110111001000000111010001101000011001010010000001110000011101010111010001100001011101000110100101110110011001010010000001101100011001010111010001110100011001010111001000100000011001100111001001101111011011010010000001110100011010000110010100100000010010000110111101100111011101110110000101110010011101000111001100100000010100110110001101101000011011110110111101101100001000000110111101100110001000000101011101101001011101000110001101101000011000110111001001100001011001100111010000100000011000010110111001100100001000000101011101101001011110100110000101110010011001000111001001111001001011100100010101111000011000110110010101110000011101000010000001110100011010000110000101110100001000000111001101101111011011010110010100100000011100000110000101110010011101000010000001101111011001100010000001001000011000010111001001110010011110010010000001110111011000010111001100100000011101010111010001110100011001010111001001101100011110010010000001100011011011110110111001110110011010010110111001100011011001010110010000100000011
40,01001011011100110011100101110001000000100010001101111011011101111111101110100001000000110001001100101011011000110100101100101011101100110010100100000011001010111011001100101011100100111100101110100011010000110100101101110011001110010000001111001011011110111010100100000011101000110100001101001011011100110101111110111001000000110111101101110011001010010000001101111011001100010000001101000011010010111001100100000011000100110111101101111011010110111001100100000011010000110000101100100001000000111001101100001011010010110010000101110010010000110000101110010011100100111100100100000011100100111010101100010011000100110010101100100001000000110100001101001011100110010000001100110011011110111001001100101011010000110010101100001011001000000010000100000011001110111001001101001011011010110000101100011011
41,1000000110011001101001011011100110010001101001011011100110011100100000011010000110100101101101011100110110010101101100011001100010000001101010011101010111001101110100001000000110010101111000011100000110010101100011011101000110100101101110011001110010000001110100011010000110000101110100011011010010000001111001011001010111001100001100001000000110000100100000010010000110111101100111011101110110000101110010011101000111001100100000011100000111001001101111011001100110010101110011011100110110111101110010001000000111011101101111011101010110110001100100001000000111001101101000011011110111011100100000011101010111000000100000011000010110111001100100001000000111011101100001011101100110010100100000011000010010000001110111011000010110111001100100001000000110000101101110011001000010000001101101011000010110011101101001011000110010000001110111011011110111010101101100011001000010000001100011011011110110110101100101001000000110111101110101011101000010111000100000010101000110100001100101001000000111001101110100011100100110000101101110011001110110010100100000011000110110010101110010011101000110000101101001011011100111010001111001001000000111011101100001011100110010000001101101011000010110101101101001011011100110011100100000011011100110111100100000011001010110011001100110011011110111001001110100001000000111010001101111001000000110011101110101011000010111001001100100001000000110100101110100011100110110010101101100011001100010000001100001011001110110000101101001011011100111001101110100001000000110011001100001011011000111001101101001011001100110100101100011011000010111010001101001011011110110111000100000001011010010000001110111011000010111001101101110101000000111010000100000011011010110000101101011011010010110111001100111001000000110010101111000011000110111010101110011011001010111001100100000011010010110111000100000011000010110010001110110011000010110111001100011011001010010000001100110011011110111001000100000011101110110100001111001001000000111010001101000011001010111001001100101001000000111011101101111011101010110110001100100011011100010110101110100001000000110001001100101001000000110000100100000011100000111001001101111011001100110010101110011011100110110111101110010110111110010000001101111011100100010000001110100011010000110010100100000011100000111001001101111011001100110010101110011011100110110111101110010001000000111011101101111011101010110110001100100001000000110111101101110011011000111100100100000011000100110010100100000011000010110001001101100011001010010000001110100011011110010000001100010011001010110111001100100001000000111001101110000011011110110111101101110011100110010111001000010011101010111010000100000011101000110100001101001011100110010000001100010011010010111101001100001011100100111001001100101001000000110001101100101011100100111010001100001011010010110111001110100011110010010111000101110001011100010000001001000011000010111001001110010011110010010000001110111011000010111001100
42,01001000000110001001100101011011000110100101100101011101100110010100100000011101110110100001100001011101000010000001001001001000000110001001100101011011000110100101100101011101100110010100111011010101110110100001100101011100100110010100100000011001000110111100100000011110010110111101110101001000000110001101101111011011010110010100100000011001100111001001101111011011011100111100100000011100110111010001110010011000010110111001100111011001010010000001101100011010010111010001110100011011000110010100100000011100000111001001100101011001000110100101100011011101000110100101101111011011101110000000100000010010000110000101110010011100100111100100100000011001000110100101110010011001010110001101110100011001010110010000100000011101000110100001100101001000000111010001101000011011110111010101100111011010000111010000100000011000010111010000100000011010000110100101110011001000000110001001110010011000010110100101101110001011100010000001010111011010000111100100100000011001000110111100100000010010
43,01011011100110011100101110010101010111001101110101011000010110110001101100011110010010000001001000011000010111001001110010011110010010000001110111011000010111001100100000011100000111001001100101011101000111010001111001001000000110011101101111011011110110010000100000011000010111010000100000011000010110111001110011011101110110010101110010011010010110111001100111001000000111010001101000011000010111010000100000011100010111010101100101011100110111010001101001011011110110111001011001001000000110001001110101011101000010000001101001011011100010000001110100011010000110100101110011001000000111000001100001011100100111010001101001011000110111010101101100011000010111001000100000011000110110000101110011011001011011011000100000011010000110010100100000011010000110000101100100001000000110111001101111001000000110001101101100011101010110010100100000011101110110100001100001011101000010000001101000011010010111001100100000011000100111001001100001011010010110111000100000011101110110000101110011001000000111010001101000011010010110111001101011011010
44,1001100110011011110111001001100100011100110010000001110000011101010110110001101100011010010110111001100111010110010010000001100001011011100110010000100000011101000110100001100101001000000111010001101000011010010110111001100111001000000111010001101111001000000110010001101111001000000111011101101001011101000110100000100000011000010010000001110100011001010111001101110100011000010110001001101100011001010010000001101000011110010111000001101111011101000110100001100101011100110110100101110011001000000110100101110011001000000111010001101111001000000110011101101111001000000110000101101110011001000010000001110100011001010111001101110100001000000110100101110100001011100100100001100001011100100111001001111001001000000110110101100101011011100111010001100001011011000110110001111001001000000111001101101000011100100111010101100111011001110110010101100100001011100010000001000001001000000110011001101100011000010111010000100000011011010110010101110100011000010110110000100000011100000110110001100001011101000110010100100000011011110110111000100000011000010010000001100100011011110110111101110010001000000110000101100110011001100110111101110010011001000111001100100000011100000111010101110011011010000110100101101110011001111011111100100000011000010110111001100100001000000110000100100000011010000110000101101110011001000110110001100101001000000110111101101110001000000110000100100000011001000110111101101111011100100010000001100001011001
45,101011001010000010000001100001011011100110010000100000011100110111010001100001011100100111010001100101011001000010000001110111011100100110100101110100011010010110111001100111001011100100100001100101001000000111010001101111011011110110101100100000011000010010000001110000011010010110010101100011011001010010000001101111011001100010000001101100011010010110111001100101011001000010000001110000011000010111000001100101011100100010000001100110011100100110111101101101001000000110100001101001011100110010000001100100011001010111001101
46,101100001011001000110110101101001011100110111010001110010011001010111001101110011010001000110010101100001011100100010000001000100011001010111000001110101011101000111100100100000010010000110010
47,1001001100001011100000110100001111001001011100100100001100001011100100111001001111001001000000111000001100001011101010111001101100101011001000101100100100000011100100110010101100110011011000110010101100011011101000110100101101110011001111111111100100000011101000110100001100101011011100010000001100100011010010111001101100011011000010111001001100100011001010110010000100000011101000110100001100101001000000111000001100001011100000110010101110010001000000110011001101111011100100010000001100001011011100110111101110100011010000110010101110010000110000010000001110100011000010111000001110000011010010110111001100111001000000110000101101110011011110111010001101000011001010111001000100000011011010110100101101100011011000110100101101101011001010111010001110010011001010010000001101111011001100010000001100111011100100110000101110000011010000110100101110100011001010010000001100110011100100110111101101101001000000110100001101001011100110010000001101101011001010110001101101000011000010110111001101001011000110110000101101100001000000111000001100101011011100110001101101001011011000010111000100000010101000110100001101001011100110010000001100011011000010110110001101100011001010110010000100000011001100110111101110010001000000110001101100001011100100110010101100110011101010110110000100000011000110110000101101100011011000110100101100111011
48,1000001110101011101000111100100100000010010000110010101100001011001000110110101101001011100110111010001110010011001010111001101110011001000000100110101101001011011100110010101110010011101100110000100100000010011010110001101000111011011110110111001100001011001110110000101101100011011001100010001000100011001010110000101110010001000000100010001100101011
49,0111100100100000010000110110111101101110011000110110010101110010011011101101010001001111011100100010000001010111011010000110111101101101011100110110111101100101011101100110010101110010001000000100100101110100001000000100110101100001
50,11001010110110000100000010101100110010101110010011100100110010101110011001011010100010101110110011000010110111001110011001011100100100100100000011100100110010101100011011001010110111001110100011011000111100100100000011100100110010101100011011001010110100101110110011001010110010000100000011110010110111101110101011100100010000001101100011001010111010001110100011001010111001000100000011011110110011000100000011000010110001101100011011001010111000001110100011000010110111001100011011001010010000001110100011011110010000001001000011011110110011101110111011000010111001001110100011100110010101000100000011000010110010001100100011100100110010101110011011100110110010101100100001000000111010001101111001000000100110101110010001011100010000001001000001011100010000001010000011011110111010001110100011001010111001000101110001000000101100101101111011101010010000001101101011000010111100100100000011011100110111101110100001000000110001001100101001000000110000101110111011000010111001001100101001000000111010001101000011000010111010000100000011011010111100100100000011001110110010101101110011001010111010001101001011000110010000001110000011000010111001001100101011011100111010001110011000010110010000001001010011000010110110101100101011100110010000001010000011011110111010001110100011001010111001000100000011000010110111001100100001000000100110001101001011011000111100100100000010100000110111101110100011101000110010101110010001000000111001001100110011011110111001001101101011001010111001001101100011110010010000001001100011010010110110001111001001000000100010101110110011000010110111001110011111101110010000001100001011100100110010100100000011001000110010101100001011001000010111000100000010010010010000001110111011000010111001100100000011000010110010001101111011100000111010001100101011001000010000001100010011110010010000001001100011010010110110001111001000100000111001100100000011100110110100101110011011101000110010101110010111101010010000001010000011001010111010001110101011011100110100101100001001000000100010101110110011000010110111001110011001011010101011001100101011100100111001001100101011100111001010100100000011000010110111001100100001000000110100001100101011100100010000001101000011101010111001101100010011000010110111001100100010001010010000001001101011010010110001101101000011000010
51,10101110000011101000110100101100011011000010110110000101110001000000100100100100000011011010111100101110011011001010110110001100110001000000110000101101101001000000111010101101110011000110110010101110010011101000110000101101001011011100010111000100000010010010010000001100001011011000111001101101111001000000110010001101111011011101010011001110100001000000110101101101110011011110111011100100000011101110110100001100101011100100110010100100000011101000110111100100000011011110110001001110100011000010110100101101110001000000110000101101110011110010010000001101111011001100010000001110100011010000110010100100000011000100110111101101111011010110111001100100000011011110111001000100000011001010111000101110101011010010111000001101101011001010110111001110100001000000110110001101001011100110111010001100101011001000010000001101001011011100010000001111001011011110111010101110010001000000110000101100011011000110110010101110000011101000110000101101110011000110110010100100000011011000110010101110100011101000110010101110010001011100100100100100000011000010110110100100000011001010111100001110100011100100110010101101101011001010110110001111001001000000110100101101110011101000110010101110010011001010111001101110100011001010110010000100000011010010110111000100000011000010111010001110100011001010110111001100100011010010110111001100111001000000100100001101111011001110111011101100001011100100111010001110011010111100010000001100011011011110110111001100100011010010111010001101001011011110110111001100001011011000010000001101111011011100010000001110011011101010110001101101000001000000110000100100000011100000110110001100001011000110110010100100000011000010110001101110100011101010110000101101100011011000111100100100000011001010111100001101001011100110111010001101001011011100110011100101110001000000100111101101110011011000111100100100000011011010111100100100000011011010110111101110100011010000110010101110010001000000101000001100101011101000111010101101110011010010110000100100000011100110110000101111001011100110010000001110011011010000110010100100000011010110110111001101111011101110111001100100000011000010110001001101111011101010111010000100000011011010110000101100111011010010110001111011101001000000110000101101110011001000010000001110011011010000110010100100000011000110110000101101110011111000111010000100000011101010111001101100101001000000110100101110100001000000110100001100101011100100111001101100101011011000110011000101110001000000100110101111001001000000110011001100001011101000110100001100101011100100010000001101001011100110010000001101000011010010110011101101000011011000111100100100000011100110110001101100
